"season","date","team","gameid","opponent","venue","homeaway","result","reg","oppreg","final","oppfinal","Poss","OppPoss","OffRtg","DefRtg","eFG%","TO%","OR%","FTR","OppeFG%","OppTO%","OppOR%","OppFTR","FG%","OppFG%","3PT%","Opp3PT%","FT%","OppFT%","Min","FIC","Off","Def","Reb","Ast","PF","STL","TO","BLK","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OppFIC","OppOff","OppDef","OppReb","OppAst","OppPF","OppSTL","OppTO","OppBLK","OppPTS","OppFGM","OppFGA","Opp3PM","Opp3PA","OppFTM","OppFTA","teamOdds","oppOdds","teamLine","totalLine","playoffGame","ot","mov"
"2020",2019-11-17,"Perth Wildcats","336843","New Zealand Breakers","Perth Arena","Home",1,88,77,88,77,71,71,123.7,108.2,0.548,0.169,0.281,0.302,0.478,0.127,0.323,0.176,44.4,39.7,46.4,32.4,82.6,85.7,"200",68.4,13,29,42,25,16,4,12,1,88,28,63,13,28,19,23,53.5,11,23,34,17,22,7,9,3,77,27,68,11,34,12,14,NA,NA,NA,NA,NA,NA,11
"2020",2019-11-17,"New Zealand Breakers","336843","Perth Wildcats","Perth Arena","Away",0,77,88,77,88,71,71,108.2,123.7,0.478,0.127,0.323,0.176,0.548,0.169,0.281,0.302,39.7,44.4,32.4,46.4,85.7,82.6,"200",53.5,11,23,34,17,22,7,9,3,77,27,68,11,34,12,14,68.4,13,29,42,25,16,4,12,1,88,28,63,13,28,19,23,NA,NA,NA,NA,NA,NA,-11
"2020",2019-11-17,"Sydney Kings","336842","Illawarra Hawks","Qudos Bank Arena","Home",1,92,87,92,87,86,86,107.3,101.5,0.464,0.117,0.19,0.406,0.5,0.152,0.244,0.145,40.6,44.7,23.5,32,71.8,61.1,"200",70.6,11,34,45,19,15,8,10,2,92,28,69,8,34,28,39,60.2,12,34,46,17,27,7,13,3,87,34,76,8,25,11,18,NA,NA,NA,NA,NA,NA,5
"2020",2019-11-17,"Illawarra Hawks","336842","Sydney Kings","Qudos Bank Arena","Away",0,87,92,87,92,86,86,101.5,107.3,0.5,0.152,0.244,0.145,0.464,0.117,0.19,0.406,44.7,40.6,32,23.5,61.1,71.8,"200",60.2,12,34,46,17,27,7,13,3,87,34,76,8,25,11,18,70.6,11,34,45,19,15,8,10,2,92,28,69,8,34,28,39,NA,NA,NA,NA,NA,NA,-5
"2020",2019-11-16,"Cairns Taipans","336841","Brisbane Bullets","Cairns Convention Centre","Home",1,94,85,94,85,78,78,121.1,109.5,0.493,0.077,0.278,0.418,0.463,0.167,0.308,0.343,43.3,40.3,34.8,28.6,82.4,69.7,"199",72.5,10,28,38,18,24,8,7,4,94,29,67,8,23,28,34,52.6,15,29,44,20,24,2,14,1,85,27,67,8,28,23,33,NA,NA,NA,NA,NA,NA,9
"2020",2019-11-16,"Brisbane Bullets","336841","Cairns Taipans","Cairns Convention Centre","Away",0,85,94,85,94,78,78,109.5,121.1,0.463,0.167,0.308,0.343,0.493,0.077,0.278,0.418,40.3,43.3,28.6,34.8,69.7,82.4,"200",52.6,15,29,44,20,24,2,14,1,85,27,67,8,28,23,33,72.5,10,28,38,18,24,8,7,4,94,29,67,8,23,28,34,NA,NA,NA,NA,NA,NA,-9
"2020",2019-11-16,"Melbourne United","336840","South East Melbourne Phoenix","Melbourne Arena","Home",1,96,95,96,95,82,82,116.8,115.6,0.47,0.11,0.359,0.232,0.553,0.158,0.278,0.16,40.2,48,35.5,44,79.2,80,"200",63.2,20,26,46,12,18,8,9,3,96,33,82,11,31,19,24,68.1,14,32,46,21,23,4,13,5,95,36,75,11,25,12,15,NA,NA,NA,NA,NA,NA,1
"2020",2019-11-16,"South East Melbourne Phoenix","336840","Melbourne United","Melbourne Arena","Away",0,95,96,95,96,82,82,115.6,116.8,0.553,0.158,0.278,0.16,0.47,0.11,0.359,0.232,48,40.2,44,35.5,80,79.2,"200",68.1,14,32,46,21,23,4,13,5,95,36,75,11,25,12,15,63.2,20,26,46,12,18,8,9,3,96,33,82,11,31,19,24,NA,NA,NA,NA,NA,NA,-1
"2020",2019-11-15,"Adelaide 36ers","336839","Perth Wildcats","Adelaide Arena","Home",0,95,99,95,99,79,79,120.3,125.3,0.513,0.165,0.417,0.208,0.585,0.139,0.344,0.225,45.5,52.1,37.5,31,72.7,76.2,"200",61.2,21,23,44,22,25,4,13,1,95,35,77,9,24,16,22,69.6,13,24,37,16,20,6,11,4,99,37,71,9,29,16,21,NA,NA,NA,NA,NA,NA,-4
"2020",2019-11-15,"Perth Wildcats","336839","Adelaide 36ers","Adelaide Arena","Away",1,99,95,99,95,79,79,125.3,120.3,0.585,0.139,0.344,0.225,0.513,0.165,0.417,0.208,52.1,45.5,31,37.5,76.2,72.7,"200",69.6,13,24,37,16,20,6,11,4,99,37,71,9,29,16,21,61.2,21,23,44,22,25,4,13,1,95,35,77,9,24,16,22,NA,NA,NA,NA,NA,NA,4
"2020",2019-11-10,"Sydney Kings","336800","Perth Wildcats","Qudos Bank Arena","Home",1,104,85,104,85,78,78,133.3,108.9,0.601,0.077,0.27,0.114,0.507,0.167,0.316,0.2,50.6,42.9,45.5,45.8,69.2,73.7,"200",86.6,12,29,41,21,19,6,6,5,104,40,79,15,33,9,13,55.9,13,27,40,16,18,2,13,3,85,30,70,11,24,14,19,1.58,2.4,-3.5,172.5,"N","N",19
"2020",2019-11-10,"Perth Wildcats","336800","Sydney Kings","Qudos Bank Arena","Away",0,85,104,85,104,78,78,108.9,133.3,0.507,0.167,0.316,0.2,0.601,0.077,0.27,0.114,42.9,50.6,45.8,45.5,73.7,69.2,"199",55.9,13,27,40,16,18,2,13,3,85,30,70,11,24,14,19,86.6,12,29,41,21,19,6,6,5,104,40,79,15,33,9,13,2.4,1.58,3.5,172.5,"N","N",-19
"2020",2019-11-10,"Melbourne United","336799","Adelaide 36ers","Melbourne Arena","Home",1,109,90,109,90,82,82,132.1,109.1,0.58,0.182,0.342,0.293,0.487,0.17,0.4,0.227,50.7,44,44,31.8,88,94.4,"199",83.1,17,27,44,19,18,8,15,5,109,38,75,11,25,22,25,52.8,12,21,33,16,23,9,14,5,90,33,75,7,22,17,18,1.3,3.6,-7.5,193.5,"N","N",19
"2020",2019-11-10,"Adelaide 36ers","336799","Melbourne United","Melbourne Arena","Away",0,90,109,90,109,82,82,109.1,132.1,0.487,0.17,0.4,0.227,0.58,0.182,0.342,0.293,44,50.7,31.8,44,94.4,88,"200",52.8,12,21,33,16,23,9,14,5,90,33,75,7,22,17,18,83.1,17,27,44,19,18,8,15,5,109,38,75,11,25,22,25,3.6,1.3,7.5,193.5,"N","N",-19
"2020",2019-11-09,"Cairns Taipans","336798","Illawarra Hawks","Cairns Convention Centre","Home",0,91,101,91,101,74,74,123.2,136.8,0.546,0.176,0.36,0.308,0.542,0.162,0.578,0.119,47.7,46.4,31,41.9,83.3,71.4,"199",59.2,12,19,31,18,20,8,13,2,91,31,65,9,29,20,24,85,27,22,49,23,20,8,13,3,101,39,84,13,31,10,14,1.3,3.6,-7.5,172.5,"N","N",-10
